handle,tag,depth,seed,type,language,language_default_policy,lang_confidence,n_msgs,n_posts,n_text_msgs,n_forward_msgs,median_views,subscribers,modal_hour_utc
smolyak,ru,2,False,channel,ru,ru,1.0,171,163,157,11,2047,3863,13
smuglianka,ru,2,False,channel,ru,ru,0.997,373,352,351,66,913,4926,12
smyslr,ru,2,False,channel,ru,ru,1.0,254,81,81,79,95,1224,12
snailazar_faza,ru,2,False,channel,bg,ru,1.0,19,14,14,10,79,81,21
sncmag,ru,2,False,channel,ru,ru,1.0,853,523,515,90,99001,302370,8
sneakerscourt,ru,2,False,channel,ru,ru,1.0,6,6,6,1,7474,6404,7
sneg_led_2023,ru,2,False,channel,ru,ru,0.997,191,84,72,0,2305,683,13
snegbash,ru,2,False,empty,unknown,unknown,0.0,0,0,0,0,,5,
snegur_kstrm,ru,2,False,channel,ru,ru,1.0,83,56,55,14,1882,24878,11
snetworks,ru,2,False,channel,ru,ru,1.0,53,35,35,35,343,1021,10
sng_perm,ru,2,False,channel,ru,ru,1.0,30,17,17,0,2529,3542,14
sniper_chat,ru,2,False,group,en,en,1.0,3,3,1,0,,450,10
snobru,ru,2,False,channel,ru,ru,1.0,254,236,232,92,5189,38811,9
snovaprivetol,ru,2,False,channel,ru,ru,1.0,37,37,35,0,2843,6776,10
snyptitzy,ru,2,False,channel,ru,ru,1.0,9,9,8,1,1984,916,14
so_pogrom_spoke,ru,2,False,channel,ru,ru,1.0,8,8,8,4,5819,2506,12
sobachenka,ru,2,False,channel,ru,ru,1.0,175,141,137,16,591,2826,13
sobytiyanews,ru,2,False,empty,unknown,unknown,0.0,0,0,0,0,,9,
sochi24tv,ru,2,False,channel,ru,ru,1.0,633,359,356,69,4006,31288,11
sochi_day,ru,2,False,empty,unknown,unknown,0.0,0,0,0,0,,43335,
sochi_predlozhka_bot,ru,2,False,empty,unknown,unknown,0.0,0,0,0,0,,,
sochi_today,ru,2,False,channel,ru,ru,1.0,80,67,67,2,3537,23832,8
sochinow,ru,2,False,channel,ru,ru,0.995,237,81,81,174,508,9056,12
sochitypical,ru,2,False,channel,ru,ru,1.0,1500,640,634,200,1711,27749,4
socialsta,ru,2,False,channel,ru,ru,1.0,74,71,67,10,563,256,12
socialteh,ru,2,False,channel,ru,ru,1.0,116,110,110,115,2249,917,17
socinforu,ru,2,False,empty,unknown,unknown,0.0,0,0,0,0,,8,
sociocentre,ru,2,False,channel,ru,ru,1.0,107,51,46,0,2796,5044,15
socoprosru,ru,2,False,channel,unknown,et,0.0,52,52,3,15,1893,2673,8
sodovaya,ru,2,False,channel,ru,ru,1.0,72,72,72,19,2057,1642,9
sof_cherkasova,ru,2,False,channel,ru,ru,1.0,8,8,8,0,753,1262,14
sofia_yudina_stihi,ru,2,False,channel,ru,ru,1.0,2,2,2,0,4259,2905,9
sofiarmenia,ru,2,False,channel,ru,ru,1.0,50,44,25,8,774,1229,15
sofochkamoshurachannel,ru,2,False,channel,ru,ru,0.997,137,89,85,17,5578,17801,19
sogrei_donbass_bot,ru,2,False,empty,unknown,unknown,0.0,0,0,0,0,,,
sokolnikov_36,ru,2,False,channel,ru,ru,0.985,53,46,37,0,932,752,5
solarisaero,ru,2,False,channel,ru,ru,1.0,4,4,4,0,1016,781,8
solarisation,ru,2,False,channel,ru,ru,0.949,201,172,81,92,162,250,21
solarstorm,ru,2,False,channel,ru,ru,0.992,20,20,20,0,2166,5170,7
soldat_pobedi,ru,2,False,channel,ru,ru,1.0,149,62,59,6,261,2372,9
soldatskyprival,ru,2,False,channel,ru,ru,0.991,1792,859,696,46,1097,5758,19
soldiers_truth,ru,2,False,empty,unknown,unknown,0.0,0,0,0,0,,10,
solenyushi,ru,2,False,channel,ru,ru,1.0,26,26,26,3,3727,3743,8
solntsepekz,ru,2,False,channel,ru,ru,1.0,64,62,62,0,10005,17880,8
solntsev_dnr,ru,2,False,empty,unknown,unknown,0.0,0,0,0,0,,12,
solodovnikovia,ru,2,False,channel,ru,ru,1.0,94,94,94,0,31806,149043,14
solono_stihi,ru,2,False,channel,ru,ru,1.0,119,103,101,43,652,1970,10
solovievsergey,ru,2,False,channel,ru,ru,1.0,37,35,35,3,260,814,9
solsever,ru,2,False,channel,ru,ru,1.0,96,72,71,27,830,4008,20
solundar,ru,2,False,channel,ru,ru,1.0,89,74,74,24,9135,11969,3
some_channe1,ru,2,False,empty,unknown,unknown,0.0,0,0,0,0,,1,
somnenijnet,ru,2,False,channel,ru,ru,1.0,78,70,68,0,4846,3112,12
somniferum,ru,2,False,channel,ru,ru,1.0,31,27,23,14,395,377,19
soroka_40_a,ru,2,False,channel,ru,ru,1.0,41,41,41,1,1672,1693,8
soroka_belaya,ru,2,False,channel,ru,ru,1.0,85,82,81,3,9688,23721,9
sorokalife,ru,2,False,channel,ru,ru,1.0,204,198,198,0,32408,112708,16
soroseatagagauzii,ru,2,False,channel,ru,ru,1.0,6,6,6,5,272,197,10
sortirovochnaya,ru,2,False,channel,ru,ru,1.0,119,80,72,4,3487,24795,14
sorwaczew,ru,2,False,empty,unknown,unknown,0.0,0,0,0,0,,,
sos_ryssia,ru,2,False,channel,ru,ru,1.0,410,329,327,6,8939,18500,12
